booking_id,rating_text,country,rating_score,pickup_date,rating_date,number_of_passenger,vehicle,booking_departure,booking_destination
1755242,Perfect in every sense. Wilson was very kind and dedicated to make our experience highly satisfying.,en,5,2024-02-05 20:30:00,2024-02-06 05:10:00,3,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1856670,,es,5,2024-02-05 18:55:00,2024-02-06 04:51:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1810085,,es,5,2024-02-05 12:35:00,2024-02-06 00:40:00,5,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1834032,,es,5,2024-02-05 11:35:00,2024-02-05 22:08:00,5,Vehículo SUV de 6 plazas,Aeropuerto Newark,Manhattan
1849685,,fr,5,2024-02-04 16:10:00,2024-02-05 01:08:00,8,Furgoneta de 14 plazas,Aeropuerto JFK,Manhattan
1801022,,es,5,2024-02-04 15:05:00,2024-02-05 03:28:00,2,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1809173,,es,5,2024-02-04 14:10:00,2024-02-05 01:05:00,2,Turismo de 3 plazas,Aeropuerto Newark,Manhattan
1858562,,es,4,2024-02-04 13:15:00,2024-02-05 02:12:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1849843,top communication facile via whatsapp chauffeur à l heures ras,fr,5,2024-02-03 21:00:00,2024-02-04 10:03:00,7,Furgoneta de 10 plazas,Aeropuerto Newark,Manhattan
1864784,,fr,5,2024-02-03 19:00:00,2024-02-05 07:29:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1864895,,es,5,2024-02-03 18:55:00,2024-02-05 00:51:00,1,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1864828,,es,5,2024-02-03 17:10:00,2024-02-04 12:25:00,2,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1863421,,es,5,2024-02-03 16:00:00,2024-02-05 07:33:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1858868,Todo muy bien,es,5,2024-02-03 15:15:00,2024-02-03 22:29:00,3,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1848145,,es,5,2024-02-03 15:00:00,2024-02-04 15:57:00,3,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1846916,Fácil. Puntual y muy amable,es,5,2024-02-03 14:30:00,2024-02-03 21:57:00,5,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1860727,,es,5,2024-02-03 14:20:00,2024-02-04 00:06:00,3,Turismo de 3 plazas,Aeropuerto Newark,Manhattan
