pickup_date,vehicle_category,num_jobs
2014,Limo,57
2014,SUV6,569
2014,Sedan,754
2014,Van,26
2015,Limo,207
2015,SUV6,1832
2015,Sedan,1896
2015,Van,134
2016,Limo,404
2016,SUV6,3406
2016,Sedan,3167
2016,Van,318
2017,Limo,648
2017,SUV6,5471
2017,Sedan,4636
2017,Van,555
2018,Limo,1004
2018,SUV6,8662
2018,Sedan,7252
2018,Sedán,1
2018,Van,965
2019,Limo,1435
2019,SUV6,12617
2019,Sedan,10419
2019,Van,1766
2020,Limo,1484
2020,SUV6,13103
2020,Sedan,10819
2020,Van,1906
2021,Limo,1543
2021,SUV6,13761
2021,Sedan,11479
2021,Van,2069
2022,Limo,1809
2022,SUV6,19184
2022,Sedan,16949
2022,Van,3392
2023,Limo,2057
2023,SUV4,509
2023,SUV6,26049
2023,Sedan,24570
2023,Van,5497
